anio,mes,pp,tmax,tmin
1975,01,181.7,17.9,3.0
1975,02,91.6,17.0,4.5
1975,03,45.7,18.2,2.6
1975,04,15.7,19.1,-1.7
1975,05,6.5,18.2,-4.4
1975,06,5.3,15.9,-6.7
1975,07,0.0,16.2,-12.1
1975,08,4.8,18.0,-7.9
1975,09,35.8,16.8,-2.2
1975,10,19.6,18.5,-1.6
1975,11,16.9,20.2,-0.9
1975,12,62.6,18.1,2.5
1976,01,138.9,15.8,3.6
1976,02,31.5,17.7,3.2
1976,03,33.6,18.0,1.3
1976,04,19.7,18.7,-4.6
1976,05,3.3,17.4,-7.6
1976,06,10.0,17.2,-9.9
1976,07,30.2,16.7,-7.6
1976,08,27.0,16.3,-6.0
1976,09,54.7,15.7,-1.2
1976,10,6.4,20.6,-5.0
1976,11,7.3,20.3,-2.3
1976,12,43.5,19.0,1.6
1977,01,72.9,19.1,2.1
1977,02,70.9,17.1,3.4
1977,03,112.2,17.2,2.9
1977,04,20.2,18.7,-3.6
1977,05,19.7,16.3,-7.3
1977,06,0.0,16.6,-12.0
1977,07,16.2,16.4,-8.6
1977,08,0.0,17.9,-9.9
1977,09,35.5,17.3,-2.5
1977,10,32.0,18.9,-1.3
1977,11,58.9,18.7,2.5
1977,12,93.6,18.0,2.3
1978,01,87.8,16.9,4.1
1978,02,102.9,17.2,3.2
1978,03,45.3,17.3,1.5
1978,04,23.4,17.9,-2.2
1978,05,0.0,18.0,-8.2
1978,06,0.0,17.0,-9.8
1978,07,0.0,16.5,-11.7
1978,08,23.1,16.8,-6.0
1978,09,14.2,17.6,-5.7
1978,10,5.5,18.9,-3.6
1978,11,71.8,18.7,1.9
1978,12,82.2,18.0,3.3
1979,01,197.8,15.5,3.8
1979,02,64.0,18.0,3.2
1979,03,75.5,17.0,2.9
1979,04,31.9,17.8,-1.3
1979,05,0.0,18.2,-7.4
1979,06,1.5,17.5,-8.2
1979,07,18.4,16.1,-9.6
1979,08,0.9,17.7,-9.8
1979,09,12.1,19.3,-5.9
1979,10,46.2,18.1,-0.3
1979,11,21.8,20.2,0.5
1979,12,122.4,17.8,3.3
1980,01,48.8,18.7,3.1
1980,02,40.5,18.9,2.6
1980,03,91.4,16.9,3.3
1980,04,13.1,18.9,-3.1
1980,05,0.0,18.3,-8.7
1980,06,1.4,18.4,-10.1
1980,07,15.1,16.2,-6.4
1980,08,18.2,17.3,-6.4
1980,09,86.4,16.4,-1.9
1980,10,13.9,18.2,1.5
1980,11,22.9,20.3,-0.1
1980,12,56.6,19.0,1.2
1981,01,123.9,17.2,4.4
1981,02,112.8,16.8,4.0
1981,03,55.9,18.0,2.7
1981,04,16.1,18.0,-3.0
1981,05,7.6,18.4,-8.0
1981,06,0.0,17.0,-12.6
1981,07,0.0,17.5,-11.9
1981,08,20.4,15.7,-5.5
1981,09,14.1,16.6,-4.2
1981,10,54.8,19.1,0.1
1981,11,24.9,20.1,2.1
1981,12,69.7,19.0,3.8
1982,01,157.8,16.9,3.9
1982,02,25.1,18.9,2.2
1982,03,65.2,17.8,2.7
1982,04,33.4,17.3,-1.4
1982,05,0.0,18.0,-10.3
1982,06,2.1,16.6,-11.8
1982,07,0.9,17.5,-11.5
1982,08,5.3,17.9,-8.2
1982,09,35.0,17.6,-4.4
1982,10,35.5,18.7,0.7
1982,11,44.7,19.1,2.1
1982,12,19.0,19.9,1.5
1983,01,36.7,20.3,2.5
1983,02,37.1,19.8,3.3
1983,03,5.3,21.5,1.3
1983,04,36.4,20.0,-0.1
1983,05,12.6,18.9,-6.0
1983,06,2.0,17.7,-9.7
1983,07,6.5,18.3,-10.2
1983,08,36.5,18.5,-6.5
1983,09,40.0,18.3,-1.7
1983,10,18.2,19.5,-1.3
1983,11,12.7,20.6,-2.9
1983,12,58.6,19.3,2.2
1984,01,207.0,15.0,3.8
1984,02,152.7,15.1,3.9
1984,03,97.0,16.5,3.3
1984,04,10.8,18.3,0.2
1984,05,1.8,17.9,-5.4
1984,06,12.5,16.6,-6.2
1984,07,1.4,16.8,-9.4
1984,08,9.2,17.4,-7.3
1984,09,0.6,18.7,-6.6
1984,10,29.4,19.2,2.1
1984,11,55.1,18.7,3.8
1984,12,75.9,19.2,2.3
1985,01,130.0,17.9,4.2
1985,02,76.5,17.2,4.0
1985,03,29.1,19.0,2.5
1985,04,48.2,18.7,1.3
1985,05,10.8,18.7,-4.5
1985,06,0.0,16.8,-7.0
1985,07,3.4,16.7,-11.3
1985,08,19.6,18.6,-7.9
1985,09,35.7,17.4,-0.5
1985,10,10.8,19.6,-1.6
1985,11,36.0,18.0,2.7
1985,12,89.7,18.0,5.1
1986,01,105.8,18.8,4.1
1986,02,64.1,18.0,4.2
1986,03,48.7,17.7,4.0
1986,04,25.9,18.8,0.4
1986,05,9.2,18.0,-7.5
1986,06,0.0,18.2,-11.8
1986,07,0.0,16.4,-13.4
1986,08,3.6,17.5,-8.4
1986,09,13.4,18.0,-3.0
1986,10,9.2,19.4,-3.5
1986,11,6.3,20.2,0.7
1986,12,113.0,17.8,4.4
1987,01,137.6,17.4,6.1
1987,02,21.7,19.3,2.1
1987,03,41.1,18.7,2.1
1987,04,15.5,19.1,-0.7
1987,05,1.3,18.7,-4.4
1987,06,11.7,16.9,-7.3
1987,07,25.7,16.4,-6.5
1987,08,2.0,19.2,-7.8
1987,09,26.3,19.0,-3.7
1987,10,45.5,19.2,-0.3
1987,11,45.8,19.7,4.8
1987,12,29.8,20.7,3.5
1988,01,105.9,18.7,5.7
1988,02,62.1,18.7,3.8
1988,03,114.1,17.4,5.0
1988,04,38.9,18.1,1.9
1988,05,6.9,18.3,-2.7
1988,06,0.0,17.7,-9.6
1988,07,0.0,17.9,-9.3
1988,08,0.0,20.5,-8.1
1988,09,18.6,19.5,-1.8
1988,10,45.3,20.6,0.8
1988,11,24.4,20.7,1.4
1988,12,50.1,19.4,4.0
1989,01,70.8,18.8,4.5
1989,02,27.2,18.7,4.1
1989,03,54.6,18.6,4.0
1989,04,29.9,17.7,1.8
1989,05,5.4,18.8,-4.3
1989,06,0.0,18.6,-6.3
1989,07,2.9,17.8,-8.5
1989,08,5.8,17.4,-8.1
1989,09,21.4,19.6,-3.5
1989,10,2.6,20.4,0.2
1989,11,19.6,20.7,0.3
1989,12,18.2,21.1,4.2
