"anio","mes","pp","tmax","tmin","spi3"
1975,1,96.4,17.2,5.9,NA
1975,2,132.8,16,6,NA
1975,3,50.5,17.1,4.7,0.889438155907917
1975,4,12.2,18.8,0.9,1.12856976309282
1975,5,5.1,15.4,-2.4,0.815881571011769
1975,6,3.5,12.7,-4.5,1.03432803539442
1975,7,0,12.6,-8.1,1.04029029236758
1975,8,4.7,15.4,-6.4,0.810783100914628
1975,9,6.6,16,-1.9,0.679924448415218
1975,10,20.9,17.7,-0.6,1.57869899331455
1975,11,8.9,20.7,0.3,0.835930424724464
1975,12,252.4,18.4,4.3,2.83364132233237
1976,1,4,15.2,5.3,1.38981319993907
1976,2,61.5,18.4,5.6,1.20904747591429
1976,3,31.5,19,5,-1.0861666754148
1976,4,0,18.6,0.8,-0.0560250692738245
1976,5,0,14.7,-3.7,-0.19938564288932
1976,6,0,12,-7.1,-0.575109281278438
1976,7,0.4,12,-5.7,0.229413488023553
1976,8,1.1,11.6,-4.1,0.286874798370874
1976,9,26,13.7,-0.6,1.76109708212003
1976,10,0,20.2,-1,1.2795820675057
1976,11,0,20.7,0.7,0.485839172353493
1976,12,24,20.8,3.9,-0.670153998211885
1977,1,48,21.2,4.3,-0.966692300100755
1977,2,106,20.5,5.3,-0.132522206122876
1977,3,102,18.2,4.5,0.69645579680439
1977,4,0,18.7,0.9,1.24206705413874
1977,5,2.5,14.6,-2.3,1.56111626596053
1977,6,0,12.8,-7.3,-0.272972050726376
1977,7,0,13.1,-6.3,0.491106127304725
1977,8,0,13.9,-4.9,0.21972291581858
1977,9,0,16.7,-0.8,-0.21972291581858
1977,10,0,19.6,1.9,-0.857254320221178
1977,11,20,20.9,4,0.24836172567207
1977,12,89,18.1,4.3,1.07767095919266
1978,1,110,14.4,6.1,0.974683382777854
1978,2,52,16.1,5.7,0.630086434423573
1978,3,35,16.6,4.9,0.158716365227572
1978,4,4,16.8,2.7,-0.0864387148091151
1978,5,0,16.3,-3,0.0462323410073141
1978,6,0,12.4,-7.6,-0.113441119342737
1978,7,0,12,-8.9,0.164210777079331
1978,8,0,14.3,-3.8,0.21972291581858
1978,9,0,15.9,-3.9,-0.21972291581858
1978,10,5,19.5,0,-0.530688085786912
1978,11,44,19.2,3.6,1.19201305290731
1978,12,39,19.7,3.9,0.765083616595642
1979,1,249,16.7,4.3,1.91377531925316
1979,2,0,19.4,4.6,0.961151998604401
1979,3,54,19.4,4.5,1.06909123895799
1979,4,0,18,0.4,-0.758257247027934
1979,5,0,14.6,-4.8,0.475467817782981
1979,6,0,13.5,-4.2,-0.575109281278438
1979,7,0,11.1,-3.6,0.164210777079331
1979,8,0,13.5,-5.7,0.21972291581858
1979,9,0,17.2,-2.2,-0.21972291581858
1979,10,0,19,3,-0.857254320221178
1979,11,0,21.7,4.2,-0.938814316876903
1979,12,77,19.4,4.3,0.582523065527695
1980,1,0,19.9,3.9,-0.867818397907903
1980,2,20,20.5,3.9,-1.29041596769154
1980,3,85,17.6,4.7,-0.959985758095665
1980,4,0,17.4,-0.3,0.117734881996104
1980,5,0,14.5,-5.5,1.18856928320089
1980,6,0,13.6,-4.6,-0.575109281278438
1980,7,0,12.5,-3.7,0.164210777079331
1980,8,0,14.7,-4,0.21972291581858
1980,9,0,14.7,-1.5,-0.21972291581858
1980,10,25,19,2.3,1.14748868087756
1980,11,6,21.8,1.8,0.66218595219137
1980,12,0,21.2,2.7,-0.442772162320643
1981,1,78,18.8,4.9,-0.736720795734305
1981,2,93,16.3,4.5,-0.216022634835552
1981,3,27,17.1,3.2,0.168665188655491
1981,4,14,15.3,-0.5,0.488713783216386
1981,5,0,14.5,-4.7,0.107872798810156
1981,6,0,10.4,-8.1,0.657385734938085
1981,7,0,11.4,-8.8,0.164210777079331
1981,8,9,12.9,-3.9,0.873415194474719
1981,9,9,13.4,-2.2,1.17591933084358
1981,10,0,18.6,0.5,0.658713292924048
