anio,mes,dia,pp,tmax,tmin,tmed,hmed,hmax,hmin
2013,1,1,1.2,14,5.7,9.7,54.5,85.4,32.1
2013,1,2,0.8,11.8,5.2,8.3,64.2,88.6,48.6
2013,1,3,0,16.7,4.4,10.4,49.1,73.8,24.5
2013,1,4,0,18.1,5.4,11.4,40,59.9,10.9
2013,1,5,0,17.2,6.9,11.5,46,68.1,22.5
2013,1,6,0,14.9,5.6,9.3,64.9,85.6,38.9
2013,1,7,0.8,16.8,4.8,10.5,58.2,88.8,31.5
2013,1,8,6.6,11.8,4.2,7.9,73.9,95.1,53.2
2013,1,9,0,15.3,6.5,9.8,64,88.3,42.3
2013,1,10,4.2,12.7,5.9,8.2,74.6,93,55.2
2013,1,11,0,14.8,5.9,9.8,60.6,87.6,31.4
2013,1,12,0,15.4,5.2,9.9,57.3,73.8,32.4
2013,1,13,0,14.7,6.3,9.9,60.6,83.8,39.4
2013,1,14,7.4,12.9,5.1,8.1,72.5,89.5,49.8
2013,1,15,5.2,10.7,4.2,6.5,81.6,93.7,64.5
2013,1,16,16,11.3,4.5,7.3,78.9,94.7,56.9
2013,1,17,2.2,13.4,4.6,8.2,74.8,92.3,53.9
2013,1,18,20.4,13.9,4.8,8.2,73.6,93.4,51.5
2013,1,19,6.4,11.3,4.2,7.1,81,95,62.2
2013,1,20,6.8,7.9,3,5.5,87,97.5,73.8
2013,1,21,0,13.1,4.1,8.1,66.4,91.2,23.8
2013,1,22,3.2,12.7,4.7,8,66.6,89.6,46.1
2013,1,23,22.2,11.4,1.9,6.6,80.4,96.5,54.3
2013,1,24,0,12.9,3.1,8.2,63.5,91.4,39.3
2013,1,25,2.4,14.2,3.3,8.6,61,90.5,35.4
2013,1,26,0,13.4,4.2,7.9,65.6,85.8,29.4
2013,1,27,0,15.3,4.5,9.8,51.6,69.2,32.9
2013,1,28,0.4,13.6,4.5,9,58.3,85.7,36.8
2013,1,29,0,14.3,5.6,10,49.5,76.4,27.9
2013,1,30,13.6,13.1,3,8.3,62.1,93,40.4
2013,1,31,4.4,14.7,4.3,8.8,67.1,85.1,34.7
2013,2,1,0,15.7,4.9,10.2,58.1,89.2,28.1
2013,2,2,0.2,15.6,7.1,10.4,60.5,74,31.9
2013,2,3,0.2,12,6.3,8.6,66,79.3,55.7
2013,2,4,0,14.1,4.9,9.3,56.4,69.6,39.5
2013,2,5,5.2,14.5,5.8,10.2,58.4,88.3,39.3
2013,2,6,4.8,12.3,4.7,7.6,76.5,93.2,59.9
2013,2,7,4.2,12.1,4.8,7.6,73.4,92.9,51.2
2013,2,8,0.8,12.4,3.9,6.9,78.5,94.1,53.7
2013,2,9,16.4,11,4.4,7.4,76.1,94.9,59.3
2013,2,10,1.4,13.3,3.2,7.4,74.8,95.1,45.8
2013,2,11,0.6,13.8,2.7,8.3,64,84.5,40.7
2013,2,12,0,13.3,4.2,8.3,63.2,91.6,27
2013,2,13,2.2,13.3,4.8,7.4,69.8,90.3,46.5
2013,2,14,2,12.5,5.1,7.8,71,89.3,50.8
2013,2,15,3,10.3,4.9,7.2,81.9,95,64.5
2013,2,16,0,13.7,5.4,9,73.3,92.6,51.3
2013,2,17,2.4,11.6,5,8.1,73,85.2,59.9
2013,2,18,15.6,13.6,3.9,7.5,74,96.2,52
2013,2,19,21.6,14.3,4.2,8.5,71.7,94.3,42.9
2013,2,20,3,12.2,3.3,7.5,79.5,95.2,61.3
2013,2,21,7.6,14.6,5.6,9.3,68.4,89.3,50.4
2013,2,22,0,14.2,5.9,9.7,63,76.3,43.3
2013,2,23,0,15.6,6,10.3,60.3,74.2,44.5
2013,2,24,0,17.4,6,11.9,57,78.1,23.7
2013,2,25,3.6,15.2,6.3,10,63.1,85,43.2
2013,2,26,1,13.1,4.6,8.6,71.8,88.6,51.8
2013,2,27,3.2,13.6,5.7,9.1,72.6,87.8,53.7
2013,2,28,1.4,12.2,7,8.8,71,90.5,54.8
2013,3,1,0.2,16.4,5.1,10.7,60.7,79.6,28.3
2013,3,2,0,17.6,5.3,11.6,52.7,70.2,26.7
2013,3,3,0,17.2,7.5,11.7,55.2,71,35.4
2013,3,4,0,16.7,7.6,11.3,55.1,72.3,34.6
2013,3,5,0,16.4,6.9,10.9,56.7,75.2,36.2
2013,3,6,2.2,16.8,5.7,10.2,61.4,80.3,39.1
2013,3,7,0,15.5,5.4,10.3,63.7,82.9,46.2
2013,3,8,3.4,13.4,6,9.3,65.8,83.8,48
2013,3,9,8.4,14.8,5.5,9.3,70.4,91.9,42.9
2013,3,10,0.4,13.8,5.6,8.9,73.3,95.6,44.7
2013,3,11,0.2,14,6.2,8.8,76.8,92.5,53.3
2013,3,12,0,15.8,3.1,9.8,58,85.1,33.8
2013,3,13,0,15.5,4.3,10,39.1,70.8,17.2
2013,3,14,0,15,4.6,9.7,34.1,49.3,21.6
2013,3,15,0,14,5.8,10,57.7,78.3,29
2013,3,16,3.2,14.7,5.6,9.3,64.4,87.5,44.7
2013,3,17,0,14.9,5.4,9.4,67.8,91,33.4
2013,3,18,0,16.7,5,10.5,50.4,81.9,17.1
2013,3,19,0,15.9,4,9.7,29.7,53.5,12.4
2013,3,20,0,14.1,1.8,8,26.4,43.3,14.3
2013,3,21,0,15.7,1.7,9.2,32.6,67.9,10.4
2013,3,22,0,17.3,5.2,11,52.4,74.2,21.7
2013,3,23,0,15.4,5.4,10.1,42.5,68.7,17.9
2013,3,24,0,13.9,2.6,8.3,23.7,39.4,11.9
2013,3,25,0,12.9,0.7,7.5,27.4,67.8,12.5
2013,3,26,0.2,11.7,4.6,7.1,63.3,77.7,37.3
2013,3,27,0,13.4,3.2,7.9,54.6,81.2,22.6
2013,3,28,0,14.6,3.2,8.5,51.3,77.2,23.6
2013,3,29,0,14.9,3.8,9.3,50.9,71.9,24.5
2013,3,30,0,15.6,3.2,9.6,32,63.2,16.6
2013,3,31,0,17.1,5.2,10.8,41.3,66.1,22.3
2013,4,1,0,17.1,3.9,10.9,33.3,49.9,23.4
2013,4,2,0,16.3,3.9,10.6,34.2,55,25.3
2013,4,3,2.4,16.7,4.5,9.7,46.1,74.8,27.8
2013,4,4,0,15.8,2.4,9.3,29,56.9,9.9
2013,4,5,0,15.2,2.6,9.1,14.2,22.3,9
2013,4,6,0,15.6,3.1,9.7,20.3,32.1,12.6
2013,4,7,0,16.2,3.6,10.5,34.6,61.3,18.4
2013,4,8,0,15.7,2.9,9.4,25.5,34.9,17.3
2013,4,9,0,12.9,1.8,7,19.1,35.4,11.8
2013,4,10,0,15.7,1,8.6,16.4,32,7.3
2013,4,11,0,15.8,1.9,9.1,17.9,26.4,9.1
2013,4,12,0,14.5,2.6,8.3,14.6,26.7,9.9
2013,4,13,0,13.2,-1.2,6.6,15,27.1,5.1
2013,4,14,0,13.5,2.1,7.8,12.5,20.4,7
2013,4,15,0,15.3,2.3,9,19.4,51.1,6.9
2013,4,16,0,15.1,2.6,8.9,35.5,63.3,12.2
2013,4,17,0,11.9,3.3,7.7,43.8,60.1,26.8
2013,4,18,0,12.2,1.1,6.8,43.1,56.3,28.2
2013,4,19,0,12.8,1.4,7.4,45.8,61.8,29.4
2013,4,20,0,13.5,1.9,7.8,36.8,64.4,18
2013,4,21,0,14.1,1.2,8.2,31.5,48.6,18.3
2013,4,22,0,14.3,2.9,8.6,38.1,56.7,20.1
2013,4,23,0,13.5,0.5,7.8,24.7,45.2,7.9
2013,4,24,0,14.4,-0.2,7.6,19.4,37.1,5.6
2013,4,25,0,14.9,1.5,8.3,15.9,27.2,7.5
2013,4,26,0,14.3,1.7,8.3,18.2,33.8,7.6
2013,4,27,0,13.4,1.1,7.6,15.2,25.6,8.3
2013,4,28,0,15.7,0.9,8.6,17.1,30.6,9.5
2013,4,29,0,17.1,4.3,10.5,27.7,45.2,14.3
2013,4,30,0,17.2,3.3,10.6,29.8,59.2,11.8
2013,5,1,0,15.2,2.8,9.5,30.3,48.3,17.4
2013,5,2,0,14.9,4,9.3,32.2,47,20.9
2013,5,3,0,14.6,3.5,9,23.9,38,14.1
2013,5,4,0,15.8,4.3,9.7,37.1,56.5,17.1
2013,5,5,0,14.3,3,8.4,17.7,66.5,6
2013,5,6,0,13.5,2.8,7.9,45.1,71.9,20.8
2013,5,7,0,14.3,2.6,8.7,28.4,46.1,15.4
2013,5,8,0,14.2,1.3,8.2,30.3,60.6,8
2013,5,9,0,14.6,2.5,8.6,18.4,43.1,9.1
2013,5,10,0,14.5,2.7,9,15.8,21.3,10.7
2013,5,11,0,14.8,3.6,9.7,24.5,34.4,14.3
2013,5,12,0,14.2,2.1,8.3,28.9,48.3,14.4
2013,5,13,0,13.6,2.1,7.8,21.6,43.7,9.4
2013,5,14,0,13.8,2.2,8.1,17.1,27.1,11
2013,5,15,0,12.4,1.2,7.8,23.8,37.6,14.6
2013,5,16,3.6,13.4,3.9,8.1,43.8,84.1,30.4
2013,5,17,6.6,10.7,3,6.2,81.3,94.3,58.1
2013,5,18,3.4,7.2,1.6,4.1,85.2,95.1,69.8
2013,5,19,0,11.2,1.8,6.4,62.8,75.1,46.2
2013,5,20,0,13.3,2.5,7.6,67.1,90.2,36.1
2013,5,21,0,12.7,3.2,8.2,56.8,77.7,35.6
2013,5,22,0.2,14.6,3.7,8.9,46.9,63,30.1
2013,5,23,0,13.3,2,7.7,46.4,68.1,27.9
2013,5,24,0,13.5,3.5,8.1,37.3,70.9,20.7
2013,5,25,0,12.2,3.6,7.5,47.6,79.3,24.5
2013,5,26,0,11.1,0.2,5.5,29,47.3,18.2
2013,5,27,0,9.7,-1.3,4,31.5,45.7,18.8
2013,5,28,0,9.3,-3,3.1,27.7,52.4,10.2
2013,5,29,0,10.1,-3,3.7,15.8,36.7,5.9
2013,5,30,0,10.1,-1.7,4,15.3,25.1,7.2
2013,5,31,0,9.8,-1.8,3.8,14.3,32.5,6.1
2013,6,1,0,9.5,-3.6,3.3,11.1,26.7,5.7
2013,6,2,0,9.8,-1.5,4.1,10.1,15.8,5.8
2013,6,3,0,11.1,0.1,5.2,13,32.6,4.9
2013,6,4,0,12.3,-1.4,5,17.6,28.5,8.6
2013,6,5,0,11.8,-0.8,5.6,16.7,26.7,8.5
2013,6,6,0,11.9,2.7,7,23.5,39.4,13.8
2013,6,7,0,11.5,2.4,6.3,34.7,52.3,25.7
2013,6,8,0,10.5,1.2,5.3,51.1,82,33.2
2013,6,9,0.4,10.7,0.5,4.3,65.5,84.8,35.9
2013,6,10,0,10.6,0,5.4,46.8,72.7,26.8
2013,6,11,0,11.3,0.3,5.9,37,65.3,24.6
2013,6,12,5.8,10.3,0.7,4.6,58.2,95.8,34.9
2013,6,13,14.8,3.3,-0.1,1.3,95.2,99.2,87.5
2013,6,14,1.2,8.1,1.2,3.7,78.7,98.3,49.1
2013,6,15,0,10,-0.2,4.1,47.3,77.8,22.1
2013,6,16,0,8.9,-1.4,3.2,28.4,54.7,11.6
2013,6,17,0,10.7,1.3,5.6,27.6,50.4,17.8
2013,6,18,0,10.6,0.4,4.9,28.4,41,17.1
2013,6,19,0,9.7,0,4.4,37.2,48.4,30.2
2013,6,20,0,12.3,-0.3,5,44.3,77.1,14.6
2013,6,21,0,11,-2.1,3.9,29.2,52,11.2
2013,6,22,0,11.4,0.6,5.5,19.5,30,12.2
2013,6,23,0,10.3,1,5.4,30.4,53.8,17.3
2013,6,24,1.8,7.5,0.6,2.9,64.9,94.8,49.8
2013,6,25,0.4,7.9,-2.3,2.3,64.1,82.7,43.6
2013,6,26,0,7.1,-2.5,2.2,45,74.7,19.6
2013,6,27,0,9.2,-3.2,3.2,27.4,54.6,12.7
2013,6,28,0,10.3,-2,4.5,19.9,35.3,9.5
2013,6,29,0,11.8,-0.8,5.6,16.2,22.1,11
2013,6,30,0,11.4,-0.7,5,16.2,22.9,9.2
2013,7,1,0,10.2,-1,4.2,12.7,32.6,7.1
2013,7,2,0,11.9,-0.6,5.4,32.2,41.8,19
2013,7,3,0,10.3,-0.5,4.7,19,32.6,10.6
2013,7,4,0,11.5,0.8,5.6,28.7,35.9,22.6
2013,7,5,0,12.8,0.8,6.2,35.6,53.9,25.5
2013,7,6,0,12.5,1.7,7.2,55.1,72.9,40.5
2013,7,7,0,13.1,2.9,7.6,48.6,71.1,21.4
2013,7,8,0,13,3.2,7.4,44.5,63.6,24.8
2013,7,9,0,12.1,1.9,6.5,42.3,63.1,22.9
2013,7,10,0,11.9,0.8,6.3,26.8,37.8,17.6
2013,7,11,0,12.6,0.9,6.7,21.3,32.7,12.6
2013,7,12,0,13.6,2.4,7.6,23.6,42.6,13.6
2013,7,13,0,10.9,-0.3,5.5,26.2,50.9,9.7
2013,7,14,0,11.6,0.6,5.8,39,71.3,9.3
2013,7,15,0,11.9,-0.3,5,48.3,79.2,24.2
2013,7,16,0,12.1,0.7,5.8,50.9,79.9,28.4
2013,7,17,0,11.7,1.1,6.3,42.3,64.2,19.8
2013,7,18,0,11,-0.2,5.5,23.9,44.1,14.6
2013,7,19,1.6,8.9,-0.1,3.1,61.9,98.8,22.2
2013,7,20,4.2,8.9,0,3.4,58.4,96.2,25.3
2013,7,21,0,12.3,-3.9,3.6,36.8,73.8,8.9
2013,7,22,0,13.1,-1.2,5.5,29.6,64.6,14.2
2013,7,23,0,11.8,0,5.5,25.1,37.5,12.1
2013,7,24,0,9.8,-1.5,4.1,21.9,38.5,6.9
2013,7,25,0,14.2,3,7,22.9,48.9,9.8
2013,7,26,0,13.3,1,7.2,31.3,49.7,17.1
2013,7,27,0,14.5,0.4,7.9,29.7,45.5,20
2013,7,28,0,15.4,4.7,10,21.7,38,9.2
2013,7,29,0,15.2,1.7,8.5,21.1,33.8,7.9
2013,7,30,0,14.5,0.6,7.7,17,31.6,7.5
2013,7,31,0,14.8,2.9,8.6,13.1,25.4,5.5
2013,8,1,0,14.6,1.3,7.8,18.3,36.9,8.4
2013,8,2,0,12.9,0.7,6.8,27.7,38.2,20.2
2013,8,3,0,12.6,0.3,6.3,21,33.5,12.4
2013,8,4,0,11.8,-2.4,4.8,14.4,32.4,7.2
2013,8,5,0,13.3,0.9,7.1,30.1,50.4,13.8
2013,8,6,8.2,14,2.3,7.6,37.8,91.3,13.2
2013,8,7,0,13.4,1.8,6.7,55.1,84.4,27.2
2013,8,8,0,12.6,1.1,6.2,30.8,50.8,13.9
2013,8,9,0,12.1,-0.7,5.5,21.7,42.9,7.9
2013,8,10,0,10,-2.1,4,9.9,17.5,5.4
2013,8,11,0,10.8,-2.2,4.6,8.1,14.4,5.5
2013,8,12,0,12.6,-1.8,5.9,10.2,22.4,3.2
2013,8,13,0,13.7,0.3,6.6,10.3,20.2,6.2
2013,8,14,0,12.2,-1.9,5.5,27,59.1,5.6
2013,8,15,0,13.5,-0.1,6.6,22.1,44.6,7.1
2013,8,16,0,12.3,0.9,6.8,10,18.2,7.7
2013,8,17,0,14.7,1.4,7.8,20.6,34.1,9.2
2013,8,18,0,14.6,1.1,7.8,16.7,38.2,6.5
2013,8,19,0,15.5,2.2,9.5,13.2,23.2,6.5
2013,8,20,0,16.8,2.8,10.5,15.9,29.3,4.2
2013,8,21,0,15.6,2.6,9.3,15.8,25.1,8.4
2013,8,22,0,14.4,1.3,8.6,12.7,48.2,7.2
2013,8,23,2.2,13.3,-0.4,6.4,59.8,98.2,22.7
2013,8,24,14.2,6.2,-2.6,0.5,95.7,100,70.3
2013,8,25,16.2,7.5,-3.2,1.1,62.5,99.2,12
2013,8,26,0,7.9,-1.8,2.8,21.5,29.8,12.4
2013,8,27,0,8.8,-2.8,3.2,28.5,41.5,15
2013,8,28,0,9.6,0.4,5.1,19,25.3,13.3
2013,8,29,0.6,10.5,-0.3,3.7,49.1,94.3,24.6
2013,8,30,0,10,-0.2,4.3,53.9,88.6,24.3
2013,8,31,0,11.2,-0.8,5,31.8,51.4,17.2
2013,9,1,0,11,0.2,5.8,31,46.8,17.5
2013,9,2,0,10.3,-3.4,3.9,21.9,42.2,8.6
2013,9,3,0,11.5,-1.8,5.3,21.5,43.4,7.7
2013,9,4,0,12.9,0.2,6.5,41.3,67.4,9
2013,9,5,0,13.8,0.4,7.6,32,63.2,7.5
2013,9,6,0,13.4,1.4,7.7,18.7,42.9,5.6
2013,9,7,0,14.4,1.6,8.4,19.3,36.6,9.8
2013,9,8,0.4,13,3.5,7.1,42.8,67.9,20.8
2013,9,9,0,13.4,0.7,6.7,46.9,72.9,14.2
2013,9,10,0,11.9,2.6,6.4,53.9,72.2,31.6
2013,9,11,0,14.1,1.9,7.9,37.2,67.7,7.9
2013,9,12,0,14.7,0.5,8.2,24.7,48.2,8
2013,9,13,2.4,13.5,2.4,7.8,53.7,90.1,28.2
2013,9,14,0,13,2.1,7,52.6,90.3,20.6
2013,9,15,0,14.9,-0.3,6.7,22.6,39.7,7.6
2013,9,16,0,15,0.1,6.8,14.6,27.2,6.1
2013,9,17,0,13.8,-0.1,6.4,13.2,31,6
2013,9,18,0,15.3,-0.7,6.9,11.4,22.6,5.9
2013,9,19,0,16.7,1.2,8.3,20.9,46,12.8
2013,9,20,0,15.2,0,7.3,24.9,39.8,15.1
2013,9,21,0,15.2,-0.1,7.5,23.3,38.8,16
2013,9,22,0,17,1.1,8.6,25.5,49.4,6.8
2013,9,23,0,17.6,3.2,9.9,18.3,45.8,6.4
2013,9,24,0,16.8,2.6,9.4,13.6,18.2,8.2
2013,9,25,0,14.5,2.2,9.1,20.8,45.2,14.6
2013,9,26,0.2,17.3,2.5,9.2,45.4,76.1,17.9
2013,9,27,0,16,3.4,8.9,37,66.3,20.3
2013,9,28,0,14.8,-1.2,6.8,24.5,50.3,6.9
2013,9,29,0,15.6,1.7,8.5,15.1,22.2,10.7
2013,9,30,0,13.7,1.1,7.3,11.8,20.8,6.4
2013,10,1,0,14.2,0,6.7,14,24.2,8.8
2013,10,2,0,14.8,-0.7,6.9,17.1,27.5,11.2
2013,10,3,0,14.9,1.6,7.9,23.5,33.6,17.1
2013,10,4,0,14.6,3.1,8,44.6,74.6,16.8
2013,10,5,0,14.5,2.7,8.4,30.6,37.2,23.3
2013,10,6,0,14,2.8,8,30.1,47.8,20
2013,10,7,0,16.2,0.8,8.1,27.5,51.5,9.4
2013,10,8,0,15.8,0.2,8.5,20.3,47.9,5.9
2013,10,9,0,16.1,2.9,9.4,17.3,41.7,8.4
2013,10,10,0,16.2,3.4,9.4,34.8,59.3,17
2013,10,11,0,15.7,2,9.1,36.6,73.5,10.1
2013,10,12,0,15.5,1.8,9.1,10.8,17.6,6.7
2013,10,13,0,15.2,1.7,7.3,35.8,90.9,6.8
2013,10,14,0.2,11.6,2.8,6.1,59.9,87.8,32.7
2013,10,15,0,12.8,1.9,7.6,49.4,88.7,20
2013,10,16,0,16.2,-0.5,8.4,20.3,35.5,12.7
2013,10,17,0,16.1,2,9.3,13.6,20.7,7.6
2013,10,18,0,15.6,1.2,8.9,16.7,68.3,7.3
2013,10,19,0,17.3,3.5,10.3,38.6,74.6,5.9
2013,10,20,0,18.2,4.8,11.4,24.2,46.2,5.3
2013,10,21,0,18.9,2.4,10.9,20.2,66.2,4.6
2013,10,22,0.6,18.5,4.1,10.3,47.4,79.8,15.4
2013,10,23,0.2,17.5,4.2,10.7,41.4,71.2,16.7
2013,10,24,3.4,14.5,4.9,8.9,51.9,76.7,31
2013,10,25,0.6,14.4,3.4,9.2,58.6,79.9,37.2
2013,10,26,0,18.4,3,11,30.9,73,12.7
2013,10,27,0,15.6,6.7,10.3,56.1,72.8,32.4
2013,10,28,12.8,14.1,3,8.1,68.2,90.9,44.3
2013,10,29,0,16.4,3.9,9.7,55.7,84.8,22.8
2013,10,30,0,15.7,3.9,9.9,53.3,76.1,29.7
2013,10,31,0.6,15.1,5.7,10.1,53.3,74.8,28.8
2013,11,1,0,15.2,2.4,9,28.3,53.6,14.8
2013,11,2,0,16.2,1.6,9.2,25,57.6,12
2013,11,3,0,15,4.3,9.7,52.7,72,28.2
2013,11,4,6.6,13.8,5.2,8.1,67.3,83.7,44.2
2013,11,5,0,14.5,4.6,9,52.5,76.7,23
2013,11,6,0,17.9,2.8,10.4,34.3,68.3,14.8
2013,11,7,0,18.5,4.8,12,30.7,51.8,12.1
2013,11,8,0,19.7,5.5,12.6,30.6,51.3,15
2013,11,9,0,20.6,5.9,13.3,27.4,52.4,12.5
2013,11,10,0,18.8,4.8,11.6,17.9,41.4,8.7
2013,11,11,0,15.8,0.9,9.1,8.5,17,3.7
2013,11,12,0,18,4.1,10.7,41.5,68.4,5.9
2013,11,13,0,16.9,5.1,10.9,45.6,70.8,17
2013,11,14,0,17.5,4,11,48.8,78,23.5
2013,11,15,0,21.5,5.4,13.1,36.9,64.8,11.1
2013,11,16,1.8,19.7,7.1,12.2,46.4,69.7,10.1
2013,11,17,0,19,4.8,11.3,48,81.3,12.7
2013,11,18,0,17.8,6.3,11.5,37.6,60.3,18.7
2013,11,19,0,17.9,3,10.3,24.8,39.1,12.4
2013,11,20,0,15.9,0.8,8.8,23.1,59.4,6.3
2013,11,21,0,15.3,5,9.4,55.7,75.3,25.2
2013,11,22,20.8,11.7,0.4,6.4,71.6,96.4,44.6
2013,11,23,0,13.9,3.5,8.4,53.1,82.3,19.5
2013,11,24,0,16.5,3.5,9.9,47,77.2,8.9
2013,11,25,0,18.4,4.8,11.3,36.8,65.2,10.7
2013,11,26,0,14.6,5.5,10.2,51.4,71.5,30.9
2013,11,27,0,18.7,4.7,11.8,38.3,70.9,15.9
2013,11,28,2.2,18.6,5.1,12.1,35.2,63.4,14.7
2013,11,29,0,18.2,5.9,11.6,41.9,61.2,20.7
2013,11,30,0,16.5,6.3,11.3,48.5,72,27.1
2013,12,1,0.8,17.4,5.3,10.8,48.5,75.7,20.7
2013,12,2,0,16.7,5.7,11.7,31.2,54.9,17.6
2013,12,3,0,17.2,4.8,11.5,39.5,68.3,16.5
2013,12,4,0,19.3,5.7,12.4,33,62.4,9.9
2013,12,5,0.2,19.5,5.9,12.8,37.2,61.9,10.1
2013,12,6,1,14.4,5.2,9,60.4,78.8,40.1
2013,12,7,17.4,17.2,4.4,10.7,53.6,80.4,21.6
2013,12,8,9.2,12.5,2.1,6.4,82.3,95.7,49.2
2013,12,9,26.6,12.8,5.2,7.7,80.5,91,61.8
2013,12,10,8.8,6.6,3.5,5,82.9,95.2,73.9
2013,12,11,2,12.3,4.3,8.1,70.9,81.8,53.9
2013,12,12,0.4,15.2,5.4,9.2,72.4,93.8,39.2
2013,12,13,0,15.1,3.8,9.7,55.2,77.6,24.4
2013,12,14,1,14,5.6,9,62.5,77.5,43.6
2013,12,15,11.6,13.3,6.5,8.6,72.5,94.3,55.2
2013,12,16,25,11.3,4.3,7.4,78.5,93,58.8
2013,12,17,6.4,9.7,4.4,6.9,82.8,96,67.3
2013,12,18,0,13.8,6.2,9.1,71.3,91.2,50.2
2013,12,19,0.4,13.3,4.2,9.2,62.6,81.7,34
2013,12,20,0,12.2,6.3,8.3,67.8,77.7,51.4
2013,12,21,8.2,15.1,5.2,9.5,63.3,78.5,40.9
2013,12,22,6.4,12.3,1.3,7.6,75.3,95.1,56
