anio,mes,dia,pp,tmax,tmin,tmed,hmed,hmax,hmin
2014,3,1,,,,,,,
2014,3,2,,,,,,,
2014,3,3,,,,,,,
2014,3,4,,,,,,,
2014,3,5,,,,,,,
2014,3,6,,,,,,,
2014,3,7,,,,,,,
2014,3,8,,,,,,,
2014,3,9,,,,,,,
2014,3,10,,,,,,,
2014,3,11,,,,,,,
2014,3,12,,,,,,,
2014,3,13,,,,,,,
2014,3,14,,,,,,,
2014,3,15,,,,,,,
2014,3,16,,,,,,,
2014,3,17,,,,,,,
2014,3,18,,,,,,,
2014,3,19,,,,,,,
2014,3,20,,,,,,,
2014,3,21,0,17.5,-0.3,,27.8,58.7,8.5
2014,3,22,0,18.6,2.3,,34.7,74.3,14.7
2014,3,23,0,18.1,4.2,,51.6,80.3,16.5
2014,3,24,0,19.6,6.7,,48.4,82.3,12.9
2014,3,25,0,19.6,0.9,,25.7,61.6,9.3
2014,3,26,1.1,16.7,5.7,,59.6,78.6,35.1
2014,3,27,0,16.7,3.9,,55.3,91.1,22.8
2014,3,28,0,15,3.3,,36.5,50.2,23.1
2014,3,29,0,15,-2,,28.9,57.1,8.9
2014,3,30,0,14.2,-4.7,,26.1,55.2,7
2014,3,31,0,15.8,-3.8,,31.2,57.2,13.5
2014,4,1,0,14.7,2.6,,52.2,74.8,28.6
2014,4,2,1.2,17.3,3,,60.8,85.9,31.6
2014,4,3,10.6,18.5,4.7,,66,95.4,26.9
2014,4,4,0,17.8,4.9,,62.7,90.3,30.1
2014,4,5,0,17.9,6.9,,55.7,84.1,30.2
2014,4,6,0,18.6,4.5,,52.5,78.5,28.1
2014,4,7,0,18.9,4.3,,49.5,77.6,25
2014,4,8,0,19.6,4.9,,45,61.4,25.1
2014,4,9,0.2,19.2,5,,55.2,83.6,24.4
2014,4,10,5.2,16.4,5.8,,54.7,86.6,33.4
2014,4,11,0,18,3.7,,49.8,92.2,12.8
2014,4,12,0,17.2,-0.6,,29.2,58.5,7.2
2014,4,13,0,18.6,3.2,,48.4,86.4,20.4
2014,4,14,0,18.6,4.5,,46.4,86.4,14.9
2014,4,15,0,18,2.5,,22.2,57.9,7.6
2014,4,16,0,16.8,2.6,,35,77.4,16.3
2014,4,17,0,17.7,0.9,,21.3,35.6,12.9
2014,4,18,0,19.1,0.7,,34.2,53,15.6
2014,4,19,0,18.6,4.2,,45.8,66.8,17
2014,4,20,0,17.6,4.3,,49.2,76.6,22.6
2014,4,21,0,18,4,,45.1,70.2,15.7
2014,4,22,0,16.8,1.4,,46,84.4,17.5
2014,4,23,0,15.5,3.2,,53.2,83.8,20.4
2014,4,24,0,16,3.2,,52,82,26.5
2014,4,25,0,15.9,-0.3,,22,46,8.8
2014,4,26,0,14.2,0.4,,15.3,21.9,8.8
2014,4,27,0,13.5,-4.9,,18.8,31.1,8.2
2014,4,28,0,17.3,-3.5,,22.5,43.4,9.5
2014,4,29,0,16.9,-0.1,,39.3,76.9,12.5
2014,4,30,0,16.1,0.6,,27.9,44.4,6.8
2014,5,1,0,14.9,-3.5,,24.2,40.5,6.8
2014,5,2,0,15.4,-3,,19.9,47.5,7.1
2014,5,3,0,17.1,-2.2,,22.3,57.1,9.2
2014,5,4,0,16.4,-0.4,,17.1,29.8,6.4
2014,5,5,0,16.1,-0.8,,18.3,27.3,11
2014,5,6,0,14.3,-2.8,,21.8,38.7,7.9
2014,5,7,0,16.6,-2.8,,19.8,42.5,8.7
2014,5,8,0,16.4,-0.5,,29.3,54.3,10.3
2014,5,9,0,16.1,1.9,,38.7,74.3,9.6
2014,5,10,0,14.9,-0.1,,28.8,71.9,13.2
2014,5,11,0,14.4,0.3,,22.7,31.7,15.2
2014,5,12,0,13.4,0.8,,26.7,37.3,19.6
2014,5,13,0,12.5,0.8,,31.9,43.8,25
2014,5,14,0,15.1,-4.3,,33.9,64.8,9.3
2014,5,15,0,14.1,-3.2,,24,53.4,11.8
2014,5,16,0,15.9,-2.2,,15.6,23.3,10.1
2014,5,17,0,13.7,-4.3,,18.2,38.9,7.2
2014,5,18,0,14.1,-2.9,,27.5,46.8,16.2
2014,5,19,0,16.1,-0.2,,34.4,65.5,10.7
2014,5,20,0,16.4,-1.4,,17,28.8,8.6
2014,5,21,0,14.3,-5.1,,24,40.7,12.1
2014,5,22,0,13.9,-0.3,,33.4,59.8,23
2014,5,23,0,12.1,0.1,,39.7,54.3,24
2014,5,24,0,12.9,-2.8,,34.3,67.4,9
2014,5,25,0,13.9,-6.1,,25.3,58.1,4.5
2014,5,26,0,14.9,-6.3,,18.5,38.1,6.7
2014,5,27,0,15.5,-4.2,,17.7,54.5,6.4
2014,5,28,0,15.1,-3.2,,14.7,35.7,7.4
2014,5,29,,,,,,,
2014,5,30,,,,,,,
2014,5,31,,,,,,,
2014,6,1,0,15.8,-3.7,,13,22.7,4.6
2014,6,2,0,14.6,-5,,14.3,24.8,4.5
2014,6,3,0,15.1,-5.7,,9.6,36,4
2014,6,4,0,15.3,-3.9,,11.7,24.7,6
2014,6,5,0,15.2,-2.5,,19,30.2,10.8
2014,6,6,0,16.7,-4.6,,15.9,31.6,6.1
2014,6,7,0,16.5,-4.4,,14.8,32.3,4.4
2014,6,8,0,11.8,-5.6,,10,21.9,3.9
2014,6,9,0,11.8,-6.9,,6.9,12.8,4.5
2014,6,10,0,15.9,-4,,21,52.2,5.9
2014,6,11,0,16.2,-1.9,,36,96.9,8.4
2014,6,12,0,15.7,-3.5,,29.2,61.9,6.1
