anio,mes,dia,pp,tmax,tmin,tmed,hmed,hmax,hmin
2014,2,7,0,17.3,16.6,16.6,49.4,50.4,49.9
2014,2,8,0.2,15.7,9.1,14.7,51.8,79.2,44.3
2014,2,9,2.3,17.7,4.8,10.9,65.1,97.6,29.9
2014,2,10,1.5,16.4,5.1,10.2,71.5,95.8,45
2014,2,11,0.3,17,6,11.1,69.1,94.1,37.1
2014,2,12,11.4,17.7,6.7,11.3,67.3,91,33.7
2014,2,13,0.4,17.5,5,10.9,67,98.6,25
2014,2,14,0.2,17.9,4.7,10.3,63.9,88.5,32.9
2014,2,15,0,18.4,3.4,10.8,58.6,89.8,22.8
2014,2,16,0,19.2,5.7,12,58,89.7,29.7
2014,2,17,0.9,19,7.3,11.5,64.6,89.6,33.7
2014,2,18,0,17.6,5,11.2,65.7,94.5,35.7
2014,2,19,2.1,19.5,5.6,11.9,60.9,89.6,26.6
2014,2,20,0,18.1,4.2,11.3,47.6,79.1,19.2
2014,2,21,0,19,4.7,10.8,63.1,89.5,28.2
2014,2,22,0,20,4,11.2,59.5,90.2,23.9
2014,2,23,0,19,5.1,11.8,59.2,85.9,28.9
2014,2,24,0.3,21.4,5.5,12.8,53.5,87.6,15.5
2014,2,25,0,20.7,3.1,12.1,51.4,87.9,18.4
2014,2,26,0,18.8,6.4,12,55,84.4,21.8
2014,2,27,0,21.7,2.5,12.2,51.9,93.2,13.9
2014,2,28,0,22.3,2.1,12.6,49.2,88.9,10.5
2014,3,1,0,22,4.7,13.2,39.5,85.9,4.7
2014,3,2,0,21.9,-0.3,11.3,31.6,67.7,6.7
2014,3,3,0,18.4,-0.1,9.6,40.5,67.4,9.8
2014,3,4,0,20,2.8,11.3,51.8,88,16.5
2014,3,5,0,20.9,2.9,11.8,50.9,81.6,20
2014,3,6,0,20.6,4.3,11.8,55.8,88.2,23.5
2014,3,7,9.6,20.4,3.5,11.8,59.3,90.6,24.4
2014,3,8,0,20.9,5.5,12,58.7,85.7,22.3
2014,3,9,0,20.2,3.1,12.6,54.5,94.7,21.5
2014,3,10,0.2,21.1,2.1,11.8,51.8,87.8,20.4
2014,3,11,0,20.1,2.2,11.2,52.8,82.8,19.7
2014,3,12,2,20.3,3.8,10.7,61.7,86.4,13.9
2014,3,13,0,20.3,3.7,11.2,60.7,95.2,17.9
2014,3,14,0,20.8,4.4,12.2,52.6,91.4,19.4
2014,3,15,0,20.1,-1,11,35.6,62.4,12.2
2014,3,16,0,21.7,3.8,11.9,55.8,87.7,20.4
2014,3,17,0,19,4.3,10.9,60.5,90.4,30.8
2014,3,18,3.1,17.1,6.3,10.1,70.1,89.7,36.9
2014,3,19,0,18.8,2.3,10.4,57.3,99.7,19.3
2014,3,20,0,19.7,0.6,10,36.4,71.4,13.3
2014,3,21,0,18.8,-0.2,9.5,35.6,70.6,12
2014,3,22,0.3,19.9,0.4,9.8,49,82.2,23.4
2014,3,23,0,19.6,2.2,10.8,56.5,87.4,20.2
2014,3,24,2,19.9,2.9,12.3,52,88.9,23.7
2014,3,25,0,18.8,2,10.6,54.5,87.9,23.9
2014,3,26,4.3,17.4,3,9.1,68.6,91.3,31.9
2014,3,27,14.1,17.4,2.3,8.8,73.8,98.7,31.5
2014,3,28,0.2,14.9,2.4,8,68.2,99.9,29.3
2014,3,29,0,17.1,-4,6.1,44,91.5,9.6
2014,3,30,0,15.4,-7.4,5,38.4,86.4,9.9
2014,3,31,0,17.2,-4.2,7.3,39,73.1,15.2
2014,4,1,0,15.2,3.5,8.9,62.3,84.8,35.9
2014,4,2,0.7,17.7,3.4,10.5,60.3,87.1,30.7
2014,4,3,0.2,21.3,3.8,11.6,59.6,91.7,23.7
2014,4,4,0,19.6,3.3,11.7,56.4,91.1,25.9
2014,4,5,0,18.9,4.6,11.6,52.3,81.8,22.8
2014,4,6,0,20.5,1,10.8,51.9,86.7,19.4
2014,4,7,0,20.5,3.8,11.9,51,76.7,25.6
2014,4,8,0,20.4,4.1,11.3,57.5,87.5,26.1
2014,4,9,0,20,2.7,11.4,53.9,88.8,18.5
2014,4,10,1.3,18,2.7,10.2,61.5,90.9,27
2014,4,11,0,19.6,3,10,58.3,99.8,14.7
2014,4,12,0,18.9,-4.6,7.2,38.9,72.8,3
2014,4,13,0,19.3,1.4,10.1,54,82.8,20.3
2014,4,14,0,20,-0.1,10.9,55.2,96.7,21.1
2014,4,15,0,19.6,1.4,10.3,52.9,89.6,19.9
2014,4,16,0,19.1,0.7,9.9,47.3,88.6,18.6
2014,4,17,0,19.9,-1.7,9.1,37.6,62.6,15.1
2014,4,18,0.5,19.5,1.4,9.8,53.7,87.1,21.9
2014,4,19,0,19.9,1.6,10.1,49.5,80.9,11.1
2014,4,20,0,18.9,2.4,10.5,51,83.6,22
2014,4,21,0,17,3.4,9.4,55.2,80.9,24.2
2014,4,22,0,18.6,-1.6,8.7,53.2,89.9,12.8
2014,4,23,0,17.3,1.9,8.8,58.6,90,22
2014,4,24,0,17,2,9.3,55,85.9,23.6
2014,4,25,0,17.7,-2,7.7,47.7,98.3,12.3
2014,4,26,0,16.6,-3.9,6.2,23.7,44.1,11.5
2014,4,27,0,16.1,-6.8,4.3,25.7,50.8,8.4
2014,4,28,0,18.7,-6.9,6.6,30.7,61.5,8.2
2014,4,29,0,19,-0.4,8.5,51.6,85,14.8
2014,4,30,0,17.5,3.3,9.3,41.4,81.7,7.3
2014,5,1,0,16.5,-4.1,5.5,29.5,59.7,7.3
2014,5,2,0,17.1,-8.6,4.4,25.3,55.1,4.3
2014,5,3,0,19.1,-5.9,6.5,30.8,59.7,14.4
2014,5,4,0,18.7,-6.4,6.4,24.3,45.9,8.1
2014,5,5,0,17.8,-2.4,7.3,22.7,38.8,8.6
2014,5,6,0,15.7,-7.1,5,27.5,47.9,11.8
2014,5,7,0,17.9,-6.5,5.3,33.1,69.5,9.4
2014,5,8,0,16.6,-3.2,6.9,39.7,72.8,12.6
2014,5,9,0,17.1,-1.8,7,43.5,84.1,10.9
2014,5,10,0,16,-2.5,7.2,40.4,77.9,14.1
2014,5,11,1.2,15.4,-4,5.6,41.9,84.1,15.9
2014,5,12,0,15.7,-4.5,5.9,47.8,81.1,22.6
2014,5,13,0,13.1,0.8,6.6,38.7,62.7,26.6
2014,5,14,0,17,-5.5,5.7,32,69.1,7.8
2014,5,15,0,16.3,-7.9,4.9,22,40.3,11
2014,5,16,0,17.8,-7.2,5.8,22.5,41.4,10.2
2014,5,17,0,15.5,-9.8,3.9,21.8,49.8,6
2014,5,18,0,15,-9,3.9,34,57.9,13.1
2014,5,19,0,17.5,-4.4,6,45.4,85.1,12.9
2014,5,20,0,16.6,-6.1,6.4,21.8,41.5,9.3
2014,5,21,0,16.5,-6.2,5.2,25.6,49,9.7
2014,5,22,4.3,14.2,-4.1,4.7,52.6,95.2,25.2
2014,5,23,0,14.3,-0.1,6.1,61.8,93.8,28.4
2014,5,24,0,15.8,-1.4,5.8,35.6,83.8,3.2
2014,5,25,0,16.3,-9.1,3.1,26.2,64.1,3.4
2014,5,26,0,16.5,-10.3,3,24.8,50.3,5.5
2014,5,27,0,17.4,-9.9,3.7,31.2,69,5.9
2014,5,28,0,16.4,-8.6,3.4,27.9,56.7,6.8
2014,5,29,0,17,-8.6,4.1,21.3,41.6,9.3
2014,5,30,0,18.6,-7.4,4.9,23.6,49,6.6
2014,5,31,0,17.4,-12.3,3.5,16.7,38.7,4.4
2014,6,1,0,16.9,-9.8,3.7,17.8,40.9,4.4
2014,6,2,0,17.4,-10.7,2.5,20.1,39,4
2014,6,3,0,16.1,-12.5,3.2,15.4,37.1,3.3
2014,6,4,0,16.8,-9.2,3.4,15.6,29.8,4.5
2014,6,5,0,17.6,-10.2,3.7,24.7,41.1,7.4
2014,6,6,0,18.5,-8.8,4.7,20.1,53.2,3.7
2014,6,7,0,19.5,-12.3,4.6,15.5,44.4,2.5
2014,6,8,0,16.9,-11.6,1.7,16,37.1,2.1
2014,6,9,0,13.9,-10.4,0.5,17.1,34,3.4
2014,6,10,0,16.4,-7.6,3.9,42.5,87.9,22.5
2014,6,11,0,18.1,-7.7,5.7,47.2,95.7,8.3
2014,6,12,0,17.8,-8.6,4.9,27.4,68.2,3.8
2014,6,13,0,15.9,-11.3,2.8,22.9,50.2,2.6
2014,6,14,0,16.7,-13.1,2.6,30.3,58.8,6.5
2014,6,15,0,16.3,-10.3,2.2,30.4,56.8,11.4
2014,6,16,0,17.2,-11,3.9,35.1,70.7,5.5
2014,6,17,0,17.7,-7.1,5.1,47.8,87.3,13.7
2014,6,18,0,16,-8,4.8,38.5,71.6,12.5
2014,6,19,0,16.2,-8.5,4.4,41.3,83.2,13.6
2014,6,20,0,16.9,-7.6,4.3,36.5,58.7,15.4
2014,6,21,0,16.5,-7.8,5.6,30.2,63.6,10.6
2014,6,22,0,17.4,-0.3,8,24,54.6,8.6
2014,6,23,0,16.7,-8.3,4.6,25.5,43,9.8
2014,6,24,0,16.3,-5.1,5.2,31,48.6,15.3
2014,6,25,0,17.3,-4.4,6.3,29.6,45.7,14.6
2014,6,26,0,17.3,-5,5.7,31.8,56,7.6
2014,6,27,0,16,-10.6,3.4,28.7,64.3,6.9
2014,6,28,0,16.5,-12.6,2.9,17.9,42.4,1.7
2014,6,29,0,15,-10.8,2,20.2,32.2,8
2014,6,30,0,15.2,-12,2,25.4,63.8,6.4
2014,7,1,0,15.5,-12,2.4,25.4,51.8,7.4
2014,7,2,0,16.6,-10.6,3.7,22.1,40.9,8
2014,7,3,0,15.4,-8.4,4.5,22.5,37.8,12.6
2014,7,4,0,16.4,-6.2,4.6,33.2,48.9,17.7
2014,7,5,0,15.8,-7.1,4.6,26.5,67.6,0.7
2014,7,6,0,15.6,-15.8,0.9,18.5,34.2,2.2
2014,7,7,0,15.2,-10.5,2,31,64.7,7.4
2014,7,8,0,17.6,-9.8,3.9,35.7,75,8.6
2014,7,9,0,15.9,-9.7,3.5,46.7,94.7,10.7
2014,7,10,0,17.1,-10.5,3.9,36,86.8,5.5
2014,7,11,0,16.5,-8.9,4.8,28.5,66.5,10.8
2014,7,12,0,15.9,-6.7,5.3,30.7,46.9,16.1
2014,7,13,0,17,-4.2,6.6,32.6,59,9.3
2014,7,14,0,16.8,-7.6,5,33,51.8,17.1
2014,7,15,0,15.1,-10.6,2.5,25.3,56.5,1.3
2014,7,16,0,16.5,-8.7,4.3,26.8,66.5,10.1
2014,7,17,0,14.4,-11,2.6,40.9,81.7,8.9
2014,7,18,0.2,12.8,-5.4,4.3,52.4,84.8,31
2014,7,19,0,13.3,-5.2,4.1,58.3,95.9,20.6
2014,7,20,0,13.9,-6.6,3.9,54,83.7,17.3
2014,7,21,0,13.7,-5.6,4.8,33.2,76.4,9.9
2014,7,22,0,14.6,-12,2.8,24.1,47.8,4.1
2014,7,23,0,15.1,-11.3,1.8,24.3,54.2,1.2
2014,7,24,0,14,-14.8,0.2,15.7,41,0.8
2014,7,25,0,14.8,-7.8,3.3,15.2,50,4.8
2014,7,26,0,12.4,-11.1,2.5,13.8,32.5,3.4
