anio,mes,dia,pp,tmax,tmin,tmed,hmed,hmax,hmin
1953,1,1,0,,,,,,
1953,1,2,0,,,,,,
1953,1,3,0,,,,,,
1953,1,4,0,,,,,,
1953,1,5,0,,,,,,
1953,1,6,0,,,,,,
1953,1,7,0,,,,,,
1953,1,8,0,,,,,,
1953,1,9,4.1,,,,,,
1953,1,10,6,,,,,,
1953,1,11,19.5,,,,,,
1953,1,12,15.2,,,,,,
1953,1,13,0,,,,,,
1953,1,14,17,,,,,,
1953,1,15,3,,,,,,
1953,1,16,2.2,,,,,,
1953,1,17,0,,,,,,
1953,1,18,0,,,,,,
1953,1,19,0,,,,,,
1953,1,20,0,,,,,,
1953,1,21,0,,,,,,
1953,1,22,0,,,,,,
1953,1,23,0,,,,,,
1953,1,24,4,,,,,,
1953,1,25,7,,,,,,
1953,1,26,8.3,,,,,,
1953,1,27,0,,,,,,
1953,1,28,0,,,,,,
1953,1,29,0,,,,,,
1953,1,30,0,,,,,,
1953,1,31,2,,,,,,
1953,2,1,0,,,,,,
1953,2,2,0,,,,,,
1953,2,3,0,,,,,,
1953,2,4,0,,,,,,
1953,2,5,0,,,,,,
1953,2,6,0,,,,,,
1953,2,7,0,,,,,,
1953,2,8,3.2,,,,,,
1953,2,9,0,,,,,,
1953,2,10,0,,,,,,
1953,2,11,0,,,,,,
1953,2,12,0,,,,,,
1953,2,13,0,,,,,,
1953,2,14,7.2,,,,,,
1953,2,15,4,,,,,,
1953,2,16,8.3,,,,,,
1953,2,17,0,,,,,,
1953,2,18,0,,,,,,
1953,2,19,0,,,,,,
1953,2,20,0,,,,,,
1953,2,21,0,,,,,,
1953,2,22,0,,,,,,
1953,2,23,0,,,,,,
1953,2,24,0,,,,,,
1953,2,25,0,,,,,,
1953,2,26,0,,,,,,
1953,2,27,0,,,,,,
1953,2,28,0,,,,,,
1953,3,1,0,,,,,,
1953,3,2,8.4,,,,,,
1953,3,3,7.3,,,,,,
1953,3,4,4,,,,,,
1953,3,5,0,,,,,,
1953,3,6,0,,,,,,
1953,3,7,0,,,,,,
1953,3,8,0,,,,,,
1953,3,9,7,,,,,,
1953,3,10,4.2,,,,,,
1953,3,11,0,,,,,,
1953,3,12,0,,,,,,
1953,3,13,0,,,,,,
1953,3,14,0,,,,,,
1953,3,15,0,,,,,,
1953,3,16,0,,,,,,
1953,3,17,0,,,,,,
1953,3,18,0,,,,,,
1953,3,19,0,,,,,,
1953,3,20,0,,,,,,
1953,3,21,0,,,,,,
1953,3,22,0,,,,,,
1953,3,23,0,,,,,,
1953,3,24,0,,,,,,
1953,3,25,0,,,,,,
1953,3,26,0,,,,,,
1953,3,27,0,,,,,,
1953,3,28,0,,,,,,
1953,3,29,0,,,,,,
1953,3,30,0,,,,,,
1953,3,31,0,,,,,,
1953,4,1,0,,,,,,
1953,4,2,0,,,,,,
1953,4,3,3.2,,,,,,
1953,4,4,11.2,,,,,,
1953,4,5,4.3,,,,,,
1953,4,6,0,,,,,,
1953,4,7,0,,,,,,
1953,4,8,0,,,,,,
1953,4,9,0,,,,,,
1953,4,10,0,,,,,,
1953,4,11,4,,,,,,
1953,4,12,7.5,,,,,,
1953,4,13,5.5,,,,,,
1953,4,14,0,,,,,,
1953,4,15,0,,,,,,
1953,4,16,0,,,,,,
1953,4,17,0,,,,,,
1953,4,18,0,,,,,,
1953,4,19,0,,,,,,
1953,4,20,0,,,,,,
1953,4,21,0,,,,,,
1953,4,22,0,,,,,,
1953,4,23,0,,,,,,
1953,4,24,0,,,,,,
1953,4,25,0,,,,,,
1953,4,26,0,,,,,,
1953,4,27,0,,,,,,
1953,4,28,0,,,,,,
1953,4,29,0,,,,,,
1953,4,30,0,,,,,,
1953,5,1,0,,,,,,
1953,5,2,0,,,,,,
1953,5,3,0,,,,,,
1953,5,4,0,,,,,,
1953,5,5,0,,,,,,
1953,5,6,0,,,,,,
1953,5,7,0,,,,,,
1953,5,8,0,,,,,,
1953,5,9,0,,,,,,
1953,5,10,0,,,,,,
1953,5,11,0,,,,,,
1953,5,12,0,,,,,,
1953,5,13,0,,,,,,
1953,5,14,0,,,,,,
1953,5,15,0,,,,,,
1953,5,16,0,,,,,,
1953,5,17,0,,,,,,
1953,5,18,0,,,,,,
1953,5,19,0,,,,,,
1953,5,20,0,,,,,,
1953,5,21,0,,,,,,
1953,5,22,0,,,,,,
1953,5,23,0,,,,,,
1953,5,24,0,,,,,,
1953,5,25,0,,,,,,
1953,5,26,0,,,,,,
1953,5,27,0,,,,,,
1953,5,28,0,,,,,,
1953,5,29,0,,,,,,
1953,5,30,0,,,,,,
1953,5,31,0,,,,,,
1953,6,1,0,,,,,,
1953,6,2,0,,,,,,
1953,6,3,0,,,,,,
1953,6,4,0,,,,,,
1953,6,5,0,,,,,,
1953,6,6,0,,,,,,
1953,6,7,0,,,,,,
1953,6,8,0,,,,,,
1953,6,9,0,,,,,,
1953,6,10,0,,,,,,
1953,6,11,0,,,,,,
1953,6,12,0,,,,,,
1953,6,13,0,,,,,,
1953,6,14,0,,,,,,
1953,6,15,0,,,,,,
1953,6,16,0,,,,,,
1953,6,17,0,,,,,,
1953,6,18,0,,,,,,
1953,6,19,0,,,,,,
1953,6,20,0,,,,,,
1953,6,21,0,,,,,,
1953,6,22,0,,,,,,
1953,6,23,0,,,,,,
1953,6,24,0,,,,,,
1953,6,25,0,,,,,,
1953,6,26,0,,,,,,
1953,6,27,0,,,,,,
1953,6,28,0,,,,,,
1953,6,29,0,,,,,,
1953,6,30,0,,,,,,
1953,7,1,0,,,,,,
1953,7,2,0,,,,,,
1953,7,3,0,,,,,,
1953,7,4,0,,,,,,
1953,7,5,0,,,,,,
1953,7,6,0,,,,,,
1953,7,7,0,,,,,,
1953,7,8,0,,,,,,
1953,7,9,0,,,,,,
1953,7,10,0,,,,,,
1953,7,11,0,,,,,,
1953,7,12,0,,,,,,
1953,7,13,0,,,,,,
1953,7,14,0,,,,,,
1953,7,15,0,,,,,,
1953,7,16,0,,,,,,
1953,7,17,0,,,,,,
1953,7,18,0,,,,,,
1953,7,19,0,,,,,,
1953,7,20,0,,,,,,
1953,7,21,0,,,,,,
1953,7,22,0,,,,,,
1953,7,23,0,,,,,,
1953,7,24,0,,,,,,
1953,7,25,0,,,,,,
1953,7,26,0,,,,,,
1953,7,27,0,,,,,,
1953,7,28,0,,,,,,
1953,7,29,0,,,,,,
1953,7,30,0,,,,,,
1953,7,31,0,,,,,,
1953,8,1,0,,,,,,
1953,8,2,0,,,,,,
1953,8,3,0,,,,,,
1953,8,4,0,,,,,,
1953,8,5,0,,,,,,
1953,8,6,0,,,,,,
1953,8,7,0,,,,,,
1953,8,8,0,,,,,,
1953,8,9,0,,,,,,
1953,8,10,0,,,,,,
1953,8,11,0,,,,,,
1953,8,12,0,,,,,,
1953,8,13,0,,,,,,
1953,8,14,0,,,,,,
1953,8,15,0,,,,,,
1953,8,16,0,,,,,,
1953,8,17,0,,,,,,
1953,8,18,0,,,,,,
1953,8,19,0,,,,,,
1953,8,20,0,,,,,,
1953,8,21,0,,,,,,
1953,8,22,0,,,,,,
1953,8,23,0,,,,,,
