anio,mes,dia,pp,tmax,tmin,tmed,hmed,hmax,hmin
2013,1,1,3.8,18.7,2,,70.6,99,29.8
2013,1,2,0,15.8,1.8,,70.9,100,31.5
2013,1,3,0,20.7,2.3,,58.4,97.7,15.4
2013,1,4,0.2,20.7,3.8,,60.7,92.8,20.4
2013,1,5,11.6,18.6,5.5,,58,88.8,25.9
2013,1,6,6.2,16.7,2.7,,84.1,100,44.5
2013,1,7,0,18.7,4.4,,63.3,100,22.5
2013,1,8,3.4,15.5,4.5,,71.8,96.9,44.5
2013,1,9,8.4,16,3.6,,76.2,100,41
2013,1,10,17.6,11.7,5.5,,92.3,100,69.2
2013,1,11,0,15.8,6.7,,76.6,100,46.4
2013,1,12,1,18.9,5.8,,69.6,99.8,31.2
2013,1,13,1.8,15.9,5.8,,72.3,93.2,46.6
2013,1,14,20.4,15.7,6.3,,76.1,98.3,45.9
2013,1,15,5.6,15.7,2.8,,87.8,100,52.7
2013,1,16,7.2,15,5.4,,85.5,100,52.3
2013,1,17,4.2,15.2,6.3,,81.6,98.4,54.1
2013,1,18,19.2,14.1,4.9,,83.3,100,57.2
2013,1,19,13.4,13.6,3.6,,85,100,62.5
2013,1,20,7.4,13.2,0.3,,87.1,100,57.9
2013,1,21,0,16.2,3.6,,67.3,100,35.7
2013,1,22,0.6,17,4.9,,68.4,94.9,27.9
2013,1,23,0.6,16.7,4.3,,74.1,98.4,37.2
2013,1,24,0,16,1.2,,70.5,100,34
2013,1,25,0.8,17.3,1.2,,71.8,99.9,26.3
2013,1,26,5.8,14.4,2.1,,84.5,100,40.6
2013,1,27,0,17.9,1,,64.2,100,24.1
2013,1,28,18.2,18.7,2.6,,69.9,100,31.1
2013,1,29,4.8,14.5,4.5,,77.6,95.7,46.8
2013,1,30,5.4,14.6,4.9,,83,96.5,57.6
2013,1,31,0,16.8,1.7,,72.9,100,35.9
2013,2,1,0.4,18.5,6.2,,59.7,95.6,26.1
2013,2,2,0,19.3,3.8,,61.5,96.7,30.1
2013,2,3,1,15.2,7.1,,68.3,91.5,49.2
2013,2,4,0,17.4,5.4,,64.2,91.3,34.4
2013,2,5,13.4,18.1,5.7,,72.9,99.1,36.5
2013,2,6,0.8,14.1,6.4,,83.9,98,56
2013,2,7,6,15.8,6.4,,84.9,100,49.1
2013,2,8,0.4,16.6,4.3,,73.2,100,35.7
2013,2,9,8.8,16.6,5,,78.4,98.4,39.7
2013,2,10,0.4,15.2,6,,78.9,98.9,51
2013,2,11,0.8,17,2.9,,69.9,100,35.1
2013,2,12,0,15.7,1.7,,60.3,99.7,31.7
2013,2,13,0,17.3,0.3,,59.5,95.8,26.6
2013,2,14,6.2,17.6,4.7,,67.8,92.9,36.3
2013,2,15,0.2,16.9,5.5,,77.2,97.1,45.3
2013,2,16,3.4,17.1,5.1,,78.1,98.7,40.4
2013,2,17,4.8,17.1,4.7,,78.5,99.5,41.1
2013,2,18,0,17.4,3.6,,76.9,100,39.1
2013,2,19,0,17.6,6.1,,71.7,94.5,35.9
2013,2,20,6.8,15.6,5.3,,78.9,99.2,48.9
2013,2,21,4,15.9,5.9,,78.3,97.6,49.8
2013,2,22,1.8,17,5.4,,77.7,100,44.6
2013,2,23,0,19.4,4.2,,66.6,100,30.5
2013,2,24,0,20.9,3.7,,60.1,96.9,31.3
2013,2,25,1.2,18.3,4.4,,68.4,94.8,36.5
2013,2,26,0.4,17.1,3.3,,74.2,100,42.7
2013,2,27,2,19.5,3.9,,75.7,100,34
2013,2,28,2.2,17.4,4,,79.8,100,43
2013,3,1,0,18.5,4.8,,70.8,100,34.2
2013,3,2,0,20.8,3.7,,62.5,100,24.5
2013,3,3,0,19,6.7,,59.6,88.6,28.9
2013,3,4,7.2,19.9,5,,65.4,94.2,28.7
2013,3,5,0,17.8,4.5,,70.9,98.9,43.7
2013,3,6,0,17,4.2,,67.3,98,39.8
2013,3,7,0,18.7,2.1,,69.6,98.6,31.4
2013,3,8,0.2,18,3.7,,73,99,39.1
2013,3,9,2,19.5,3.7,,72.6,100,33
2013,3,10,1.6,17.6,4.3,,79.1,99.9,44.9
2013,3,11,1,18.8,5.2,,80.3,100,37.9
2013,3,12,0,19.5,1.5,,63.9,100,25.6
2013,3,13,0,20.4,4,,50.6,84.1,25
2013,3,14,0,19.5,2.6,,56,80.9,24.8
2013,3,15,12.6,17.4,3.9,,69.4,95.1,29.7
2013,3,16,4.2,16.8,2.3,,79.2,100,44.3
2013,3,17,0,17.9,3.8,,71.3,95.9,37.9
2013,3,18,0.2,19.3,1.7,,56.4,100,9.6
2013,3,19,0,20.7,-1.1,,35.9,79.4,9.3
2013,3,20,0,19.8,-3.6,,37.8,78.2,9.7
2013,3,21,0,20.1,-3,,39.9,77.8,11.9
2013,3,22,0,19.5,0.5,,53.7,75.3,25.9
2013,3,23,0,19.7,1.7,,47.4,95.5,12.6
2013,3,24,0,19.5,-3.5,,30.4,63.6,9.2
2013,3,25,0,18.3,-3.4,,32.5,71.2,9.1
2013,3,26,0,18.2,0.5,,39.7,70.6,15.2
2013,3,27,0,16.7,1.4,,52.1,84.7,24
2013,3,28,0,18.2,-1,,47,77.5,21
2013,3,29,0,19,-1.6,,43.7,93.1,7.4
2013,3,30,0,19.4,-3.3,,32.7,69.9,8.4
2013,3,31,0,21.3,-0.6,,32.7,55.4,14.8
2013,4,1,0,21.5,0.9,,40.6,69.5,16.2
2013,4,2,0.2,19.4,0.5,,49.9,77.3,22.4
2013,4,3,0,19.7,0.1,,60.4,100,27.5
2013,4,4,0,20.5,-1.4,,38.7,83.4,6.2
2013,4,5,0,20,-4.9,,28.5,58.8,8.9
2013,4,6,0,19,-2.4,,37.2,59.5,17.3
2013,4,7,0,19.9,-2,,51,83.9,12.4
2013,4,8,0,20.2,-1.6,,38.2,81.7,7.5
2013,4,9,0,16.9,-4.7,,25.6,53,8.3
2013,4,10,0,19,-4.4,,23.6,47.4,7.6
2013,4,11,0,19.9,-5.5,,20.5,46.8,5
2013,4,12,0,18.7,-5.5,,18.9,46.9,3.9
2013,4,13,0,17.8,-10.1,,17,42.9,5.8
2013,4,14,0,18.7,-4.1,,20,37.9,6.2
2013,4,15,0,19.2,-5.4,,22.9,46,9.3
2013,4,16,0,18.6,-4.5,,25.6,49.1,11
2013,4,17,9.2,17.4,-1.7,,47.8,100,18.1
2013,4,18,0.2,15.6,0,,72.4,100,18.9
2013,4,19,0,14.9,-0.9,,66.7,96.8,30.8
2013,4,20,0,16.7,-1.8,,53.8,98.4,18.7
2013,4,21,0,17.5,-3.8,,33,75,9.9
2013,4,22,0,17.8,-3,,35.5,68.9,14.3
2013,4,23,0,16.9,-3.7,,30.9,59.3,12.1
2013,4,24,0,16.8,-5.4,,26.5,60,6.5
2013,4,25,0,19.3,-6.3,,22.7,46.3,7.1
2013,4,26,0,19.7,-4.5,,25.2,56.2,5.6
2013,4,27,0,19.2,-5.8,,24.2,55,6.9
2013,4,28,0,18.6,-5.9,,27.2,53.9,10.2
2013,4,29,0,19,-3.6,,29.6,50.3,13.2
2013,4,30,0,18.8,-3.6,,35.6,68.2,11.9
2013,5,1,0,18,-4.1,,36.3,65,18.2
2013,5,2,0,18.8,2,,36.4,63.9,15.7
2013,5,3,0,17,-1.5,,41.7,66.4,21.8
2013,5,4,0,19.6,-1.9,,36.4,70.6,10.8
