"anio","mes","pp","tmax","tmin","spi3"
1975,1,134.4,18.5,4.6,NA
1975,2,237.9,18.5,5.8,NA
1975,3,47.1,19.2,4.5,1.69005047175835
1975,4,19.6,20.5,0.7,1.72810396187244
1975,5,10.1,17.5,-4,0.00349913841909454
1975,6,9.7,15.2,-6,0.672532299379001
1975,7,0,14.9,-10.8,0.627037845025462
1975,8,1.7,18.1,-7.2,-0.272832918880695
1975,9,27.1,18.9,-2.3,-0.128563161969524
1975,10,10,19.8,-0.7,-0.350124583921581
1975,11,11.8,22.8,0.4,-0.648472042958826
1975,12,56.5,19.5,4.3,-0.84682011515481
1976,1,149.6,17.5,5.1,0.331284266384224
1976,2,57.3,19.5,4.6,0.251533571398074
1976,3,62.6,20.1,3.6,0.340311457525063
1976,4,38.8,19.5,-1.4,0.078330826970415
1976,5,0.5,16.2,-5.9,0.559064094272097
1976,6,0,15.3,-9.2,0.668994615994686
1976,7,28.6,15.5,-6.8,1.02122954990882
1976,8,24.7,16.2,-4.7,1.50771558136736
1976,9,83.5,15.6,-0.8,2.27949321623669
1976,10,1,20.9,-2.2,1.41365869670577
1976,11,12.7,20.8,0.1,0.676485762625857
1976,12,55.3,20.9,2.8,-1.12118893057637
1977,1,96.5,20.9,3.6,-0.388575168172886
1977,2,95.3,18.5,5.2,0.0714826031607453
1977,3,97.3,18.5,5,0.540980504658354
1977,4,1.1,20.2,-0.8,0.543590490380455
1977,5,15,16.1,-5.2,0.783476807371054
1977,6,0.6,15.3,-8.5,-0.367159511357166
1977,7,4.5,16.2,-7.8,0.641250994942339
1977,8,11.3,17.7,-6.3,0.0554515760485924
1977,9,33.6,18.5,-0.7,0.559758354833788
1977,10,40.3,20.4,1.2,0.931297751036446
1977,11,64.4,19.7,4.6,1.48709162702416
1977,12,102.5,18.5,4.3,1.68985102506078
1978,1,90.6,17.3,5.2,0.792122015105503
1978,2,118.5,18.1,4.8,0.744156355742833
1978,3,46.1,18.2,4,0.187721651081782
1978,4,8.1,18.1,1.2,0.271887037162427
1978,5,0,16.2,-5.9,-0.614259095299941
1978,6,0,14.4,-8.5,-1.0565943148305
1978,7,0,14,-9.9,-1.027154272915
1978,8,19.5,15.9,-3.9,0.229325131060394
1978,9,4.5,17.5,-4.2,-0.335526594687541
1978,10,7,19.5,-0.4,-0.660008471698264
1978,11,28.9,19.9,3.2,-0.968277433751333
1978,12,71,18.5,4.7,-0.123060358232999
1979,1,171.4,15.6,5.3,0.941724826638882
1979,2,45.2,19.1,5,0.505682368447621
1979,3,88.1,17.8,4.5,0.69437876447567
1979,4,35.9,17.8,0.5,0.224507418683431
1979,5,0,16.3,-6,0.977557703853127
1979,6,0,16.1,-6.6,0.545045468434073
1979,7,12.5,13.8,-7.6,0.234147914923524
1979,8,0,16.5,-7.4,-0.194233505782564
1979,9,5.1,19.2,-4.1,-0.662635389064473
1979,10,19.2,19.7,1.1,-0.973632271856024
1979,11,40.1,21.8,2.2,-0.152792116732242
1979,12,102,18.1,2.3,0.954419929177668
1980,1,28.1,20.5,1.1,-0.304838325860685
1980,2,51.6,19.6,1.7,-0.744233297617199
1980,3,45.6,18.2,4,-1.5757933176811
1980,4,14.7,19.4,-1.4,-0.667343266859708
1980,5,3.4,17.3,-7,-0.336477711084578
1980,6,0,16.4,-9.3,-0.281247409791339
1980,7,10,15.2,-4.7,0.288574075903159
1980,8,10.5,17.5,-5.9,0.281783623841601
1980,9,63,17.3,-0.8,1.36423344532863
1980,10,33.3,19.9,2.8,1.36866272014937
1980,11,3.1,23,1.4,0.724980912685465
1980,12,9.6,21.5,1.5,-1.93464512922378
1981,1,124.3,18.9,5.4,-0.823037920385671
1981,2,139,17.3,5.3,0.353074482430967
1981,3,59.7,18.2,3.4,0.867900544952777
1981,4,3.6,17.7,-2,0.649253830504581
1981,5,0,17.1,-6.4,-0.347577985152482
1981,6,0,14.6,-10.1,-1.69176339374647
1981,7,0,15.1,-10.2,-1.027154272915
1981,8,19,15.2,-3.6,0.202479509550168
1981,9,78.5,15.2,-2.4,1.63306340650474
1981,10,21.3,19.7,1.2,1.58767338165278
1981,11,11,21.5,2.6,0.965697455362795
1981,12,77,20.8,5.1,-0.0686248955925239
1982,1,122.7,17.3,5.3,0.241672784934474
1982,2,50,19.8,4.3,0.100722422597528
1982,3,130.9,17.8,5,0.683733554011347
1982,4,6,17.5,0.4,0.457838166986045
1982,5,0,14.9,-6.7,1.19981606548691
1982,6,0,13.3,-8.6,-1.30596412359389
1982,7,0,14.5,-8.3,-1.027154272915
1982,8,0,16.4,-5,-1.51238958606768
1982,9,45.4,16.6,-1.6,0.443720100348198
1982,10,5,20.2,2.1,0.0394941207458737
1982,11,48.1,21.9,4.9,0.705227503041124
1982,12,22.4,21.7,4.8,-0.926930716503495
1983,1,53.7,23.6,6,-1.04596364064884
1983,2,57.2,21.6,6.1,-1.49002082883998
1983,3,12.7,24.2,4.2,-1.60602711267837
1983,4,7,22.3,1.4,-1.38261073275617
1983,5,0,18.1,-5.4,-2.08626360227815
1983,6,0,16.3,-8.3,-1.18019508833325
1983,7,1.7,17.5,-8.1,-0.73154967490999
1983,8,34.1,17.9,-4.7,0.941065083002808
1983,9,11.6,18.6,-1.4,0.502544362401575
1983,10,19.3,21.1,0.5,0.451692290820305
1983,11,7.6,22.4,-0.3,-1.04611241524457
1983,12,15.5,21.8,3.3,-2.08708550599912
1984,1,180.3,15.3,5.4,0.148714425812725
1984,2,209.5,15.3,5.1,1.5748551462883
1984,3,139.8,16.9,5.7,2.49302050758199
1984,4,7.8,17.9,1.9,2.1924673179262
1984,5,0,17.7,-4.3,1.37419547424269
1984,6,10.8,15.2,-5.2,-0.251689886942132
1984,7,0,14.6,-7.6,0.125112132919814
1984,8,18.9,15,-5.6,0.704107665394676
1984,9,0,17.9,-4.4,-0.590070063387305
1984,10,2.6,20.5,2.8,-1.12324150036051
1984,11,73.6,19.4,4.7,0.172407777947835
1984,12,30.5,18.1,4.4,-0.127633594022364
1985,1,201.9,16.5,5.4,1.29725729814798
1985,2,147.9,15.5,4.8,1.36654603358362
1985,3,86.6,17.9,3.6,1.82200229207246
1985,4,78.7,17.3,1.7,1.80744708198822
1985,5,0,17.3,-2.3,1.64582459558267
1985,6,9.4,14.5,-4.8,1.97524951304898
1985,7,0,14.4,-8.8,0.0280934353866826
1985,8,10.4,17.8,-6.1,0.245231599343298
1985,9,52.6,16.3,-0.6,0.913648016422783
